"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"LKA",4,2016,139.30206603249265357,41233.244458853910036
"LKA",5,2016,323.97648314839164548,179500.828095187522750
"LKA",6,2016,409.90738543337142326,251738.39040419948635
"LKA",7,2016,606.62273635543725963,334201.667866201403408
"LKA",8,2016,551.30758882354994919,241428.845878717605932
"LKA",9,2016,112.16688852566006585,32598.898042360217125
"LKA",10,2016,750.67406727447953541,419074.051836765347116
"LKA",11,2016,254.49632531339571627,147030.753970778941342
"LKA",12,2016,1128.29065896586072818,664308.99175093763009
"LKA",13,2016,78.96235097608779335,23688.688572403053233
"LKA",14,2016,1892.82440704191402331,664857.445674172338060
"LKA",15,2016,354.05466722723766714,103488.855632600072493
"LKA",16,2016,1035.38066414792251129,458431.222814072974150
"LKA",17,2016,368.40129971964459984,208409.595513567515674
"LKA",18,2016,692.88865380484512526,284608.980656408841793
"LKA",19,2016,982.40509865591079122,251715.488220343390671
"LKA",20,2016,206.98547641004396691,106381.783295544090167
"LKA",21,2016,553.84251695761515040,183939.601763256013040
"LKA",22,2016,929.30291663156575172,281557.534746102510589
"LKA",23,2016,749.35721287290293350,411168.409594300064020
"LKA",24,2016,245.37740808476291163,65217.514417654984518
"LKA",25,2016,1610.31950624427861271,371155.286916910088943
"LKA",1,2017,478.87399667880318300,185914.940563666400428
"LKA",2,2017,652.24780504050955620,173161.281770270093859
"LKA",3,2017,431.78127318416794268,226559.396804297166108
"LKA",4,2017,131.85573924214241976,40770.449617594606768
"LKA",5,2017,314.20551481488407045,177424.990148951432960
"LKA",6,2017,355.06773787772747728,218091.476601996958446
"LKA",7,2017,327.10703344421243725,181371.91084245981873
"LKA",8,2017,306.45168909345689011,144408.100951562860672
"LKA",9,2017,33.82465467355368794,10030.007810551169245
"LKA",10,2017,856.29909658928300190,488297.236144296229717
"LKA",11,2017,170.16150514020074012,104014.380313739483036
"LKA",12,2017,1424.63502803591325992,834911.063424876193549
"LKA",13,2017,106.98267913475046226,33320.231858682347945
"LKA",14,2017,1081.07637844183735667,429491.002878937195603
"LKA",15,2017,215.42011746187944791,67132.186510396851758
"LKA",16,2017,1287.03334847334525632,556440.789303900326807
"LKA",17,2017,334.72780961469003615,187551.90679727417251
"LKA",18,2017,777.99165561008557171,329789.913956802779627
"LKA",19,2017,584.87043678079946123,165052.219348912427996
"LKA",20,2017,160.54906586521319526,77818.663365448848841
"LKA",21,2017,338.56224305234555645,109231.952509114778445
"LKA",22,2017,734.39609487349192853,224359.571572428645454
"LKA",23,2017,739.34393361094627446,417319.388160087677551
"LKA",24,2017,402.90169784117835864,110305.631964839334263
"LKA",25,2017,819.57842865443374026,198015.931386410594775
"LKA",1,2018,523.28088451714583275,198794.567726541480058
"LKA",2,2018,1489.96901282354525078,380855.240164927148256
"LKA",3,2018,418.75460948450110528,224764.359283730080287
"LKA",4,2018,220.62630957176213541,68758.183131869569499
"LKA",5,2018,234.14465725709514467,131993.849478383884186
"LKA",6,2018,354.38415306493695732,214092.110473657208662
